geography code,Total_Population,total_households,population_density,short_term_res,job_density,Household_Prop,never_married_prop,couple_het_prop,couple_hom_prop,separated_prop,widowed_prop,sole_occ_over65_prop,sole_occ_under66_prop,fam_cpl_ret_prop,fam_cpl_d_prop,fam_cpl_nd_prop,cohab_cpl_d_prop,cohab_cpl_nd_prop,fam_lp_d_prop,fam_lp_nd_prop,fam_other_prop,other_with_dependents_prop,other_no_dependents_prop,uk_prop,europe_EU__prop,europe_non_EU__prop,africa_prop,asia_prop,americas_prop,oceania_prop,age_under18_prop,age_18_29_prop,age_30_44_prop,age_45_64_prop,age_65_80_prop,age_over80_prop,female_prop,male_prop,houshold_0ddep_prop,houshold_1ddep_prop,houshold_2ddep_prop,houshold_3ddep_prop,houshold_4ddep_prop,arrived_pre81_prop,arrived_81_90_prop,arrived_91_00_prop,arrived_01_10_prop,arrived_11_16_prop,arrived_17_21_prop,household_1ppl_prop,household_2ppl_prop,household_3ppl_prop,household_4ppl_prop,household_5ppl_prop,household_6plusppl_prop,arr_age_under18_prop,arr_age_18_29_prop,arr_age_30_44_prop,arr_age_45_64_prop,arr_age_over64_prop,add_1yr_same_prop,uk_migrant_prop,nonuk_migrant_prop,stres_female_prop,stres_male_prop,asian_prop,black_prop,mixed_prop,white_prop,other_prop,single_ethnicity_hhd_prop,mixed_ethnicity_hhd_prop,eng_main_lan_prop,eng_spk_well_prop,eng_spk_poor_prop,christian_prop,hindu_prop,muslim_prop,no_religion_prop,unpd_car_none_prop,unpd_car_lt19_prop,unpd_car_2049_prop,unpd_car_gt50_prop,unpd_car_none_asp_prop,unpd_car_lt19_asp_prop,unpd_car_2049_asp_prop,unpd_car_gt50_asp_prop,hhd_det_prop,hhd_semidet_prop,hhd_terr_prop,hhd_flat_prop,hhd_other_prop,hhd_0car_prop,hhd_1car_prop,hhd_2car_prop,hhd_3pluscar_prop,hhd_noct_prop,hhd_gasct_prop,hhd_elect_prop,hhd_oilct_prop,hhd_renct_prop,hhd_duelct_prop,hhd_otrct_prop,hhd_1bdrm_prop,hhd_2bdrm_prop,hhd_3bdrm_prop,hhd_4bdrm_prop,hhd_1room_prop,hhd_2room_prop,hhd_3room_prop,hhd_4room_prop,hhd_5room_prop,hhd_6room_prop,hhd_bedocc_pls2_prop,hhd_bedocc_pls1_prop,hhd_bedocc_0_prop,hhd_bedocc_min1_prop,hhd_bedocc_min2_prop,hhd_rmocc_pls2_prop,hhd_rmocc_pls1_prop,hhd_rmocc_0_prop,hhd_rmocc_min1_prop,hhd_rmocc_min2_prop,hhd_ten_own_prop,hhd_ten_mtg_prop,hhd_ten_shr_prop,hhd_ten_srn_prop,hhd_ten_orn_prop,work_dist_under2k_prop,work_dist_2k_5k_prop,work_dist_5k_10k_prop,work_dist_10k_20k_prop,work_dist_over20k_prop,work_dist_wfh_prop,work_dist_offshr_prop,work_lt15hrs_prop,work_16_30hrs_prop,work_31_48hrs_prop,work_gt49hrs_prop,aff_ind_prop,mag_ind_prop,man_ind_prop,utl_ind_prop,wat_ind_prop,con_ind_prop,ret_ind_prop,tra_ind_prop,acc_ind_prop,inf_ind_prop,fin_ind_prop,rea_ind_prop,tec_ind_prop,adm_ind_prop,def_ind_prop,edu_ind_prop,hum_ind_prop,otr_ind_prop,wrk_trav_train_prop,wrk_trav_bus_prop,wrk_trav_taxi_prop,wrk_trav_carvd_prop,wrk_trav_carvp_prop,wrk_trav_bike_prop,wrk_trav_foot_prop,wrk_trav_otr_prop,wrk_hgr_man_prop,wrk_lwr_man_prop,wrk_inter_prop,wrk_sml_emp_prop,wrk_technic_prop,wrk_semi_rout_prop,wrk_rout_prop,wrk_lt_unem_prop,wrk_ft_std_prop,econ_act_prop,econ_inact_prop,qual_none_prop,qual_l1_prop,qual_l2_prop,qual_app_prop,qual_l3_prop,qual_l4_prop,qual_other_prop,military_service_prop,no_service_prop,sex_het_prop,sex_hom_prop,sex_bi_prop,sex_otr_prop,sex_non_prop,gen_ident_birth_prop,gen_ident_change_prop,gen_ident_non_prop,claimant_prop,job_seek_prop
E06000001,92338,40930,985.5,26,0.64,0.990610583,0.383629693,0.419179476,0.003387606,0.121431632,0.072371592,0.137967261,0.194698265,0.08964085,0.104446616,0.171390178,0.059418519,0.064378207,0.094942585,0.042560469,0.004666504,0.016784754,0.01910579,0.960404618,0.014707475,0.001537895,0.005295991,0.015075703,0.002144389,0.000833929,0.214752962,0.134739099,0.177746009,0.275304871,0.152229948,0.04522711,0.51607139,0.48392861,0.421744442,0.335572929,0.184949914,0.055655998,0.002076716,0.005967337,0.002274303,0.003952954,0.010927482,0.007689309,0.00885895,0.332665527,0.338236013,0.165648668,0.111092108,0.037112143,0.015245541,0.016212177,0.012465074,0.008382248,0.002393381,0.000238255,0.911342281,0.085693346,0.002964373,0.346153846,0.653846154,0.017327644,0.004819251,0.007266781,0.964586627,0.005999697,0.975178345,0.024821655,0.979020353,0.014437486,0.006542161,0.525190063,0.002404211,0.01313652,0.452143213,0.890631439,0.041897523,0.028755895,0.038715143,0.89,0.042,0.029,0.039,0.197547151,0.355150005,0.32905795,0.097600899,0.020643995,0.295675544,0.406425605,0.22621549,0.071683362,0.008355729,0.826972881,0.046078671,0.002931835,0.001319326,0.095333496,0.019008063,0.081529441,0.276227706,0.457830442,0.184412411,0.006425605,0.069875397,0.234937699,0.294747129,0.259809431,0.13420474,0.379141014,0.372373693,0.229795759,0.017003811,0.001685723,0.489018104,0.296792162,0.182551123,0.027998339,0.003640273,0.311783821,0.27054167,0.00583938,0.234405922,0.177429207,0.156057114,0.193011735,0.083684336,0.148957588,0.090810353,0.174044346,0.153434528,0.091154733,0.225727834,0.588280484,0.094836949,0.003947124,0.011338049,0.102625235,0.015470608,0.011761901,0.100903335,0.151898064,0.038464595,0.048875467,0.0220933,0.016636202,0.014410978,0.044742907,0.043577313,0.069723701,0.09968476,0.16832234,0.03552412,0.008,0.032874172,0.016927152,0.594649007,0.060291391,0.014860927,0.082940397,0.015417219,0.070588865,0.169375787,0.110382133,0.074913638,0.067777093,0.148033099,0.157164663,0.141003669,0.060761053,0.545638348,0.454361652,0.231449,0.094743325,0.146787885,0.069691776,0.18445224,0.248051844,0.02482393,0.051468816,0.948531184,0.911415794,0.015009506,0.010497282,0.002102134,0.060975283,0.945130279,0.004297994,0.050571727,0.088,0.007
E06000002,143926,60261,2671.2,295,0.82,0.982595223,0.43107655,0.391291755,0.003106953,0.110358265,0.064166477,0.128424686,0.202867526,0.074608785,0.117024278,0.142529995,0.053052555,0.06040391,0.103483181,0.048621828,0.0102222,0.025704851,0.033056206,0.87720249,0.031300372,0.002987605,0.023539548,0.062253349,0.002146907,0.000569729,0.232535679,0.165263129,0.192722447,0.241484971,0.129771682,0.038222093,0.507490064,0.492509936,0.421608974,0.338422223,0.179482925,0.05836182,0.002124058,0.01261091,0.004488511,0.00845591,0.028834863,0.025013375,0.043446843,0.331286715,0.311688958,0.162938502,0.117453785,0.046845442,0.029786599,0.038395531,0.053924668,0.024971686,0.004974882,0.000583645,0.896052789,0.088178043,0.015769169,0.440677966,0.559322034,0.10484846,0.026514362,0.020851572,0.823689221,0.024096386,0.943861803,0.056138197,0.924281608,0.056441214,0.019277178,0.459572132,0.009977557,0.102158793,0.417570506,0.907130582,0.035415864,0.024741474,0.03271208,0.902,0.037,0.026,0.035,0.172397199,0.422903322,0.278251635,0.107148784,0.019299061,0.331281217,0.400643844,0.208618887,0.059456051,0.012478842,0.808071421,0.058975806,0.000896087,0.001078623,0.097275231,0.021223989,0.084514288,0.240947861,0.51096877,0.163569082,0.004563331,0.072996698,0.186067736,0.322718749,0.298375454,0.115278031,0.353771863,0.359596429,0.252464239,0.028326308,0.00584116,0.483571737,0.286001128,0.188327636,0.034914208,0.007185291,0.285804364,0.264050444,0.005475815,0.23240687,0.212262507,0.140571287,0.231332176,0.16128575,0.066537903,0.070967856,0.1679484,0.161356629,0.100701705,0.236400043,0.576886274,0.086011979,0.001453102,0.010703337,0.070688097,0.007779412,0.00703514,0.085006468,0.160337403,0.054969786,0.053764775,0.027095036,0.02131807,0.013503216,0.036912335,0.048466269,0.06397193,0.093601035,0.208325211,0.035069377,0.008806436,0.040116238,0.036324332,0.544776384,0.071939897,0.019863208,0.090881707,0.019349351,0.067466517,0.152205585,0.107382963,0.069335955,0.059321736,0.139022977,0.150608226,0.153241236,0.101414805,0.546327421,0.453672579,0.239443913,0.098482521,0.13401908,0.061787448,0.175321883,0.264413414,0.026531741,0.040583831,0.959416169,0.895460689,0.015683968,0.012155734,0.003870526,0.072829082,0.930409521,0.008232548,0.061357932,0.103,0.01
E06000003,136531,61640,557.1,35,0.56,0.990983733,0.354506209,0.437010993,0.002955183,0.127117362,0.078410254,0.157998053,0.177222583,0.111307592,0.101427644,0.171495782,0.055207657,0.062232317,0.083874108,0.042715769,0.004493835,0.015655419,0.016369241,0.970863333,0.012092669,0.001355023,0.003852661,0.008774693,0.001992251,0.00106937,0.199617683,0.12147712,0.166739907,0.27963321,0.179535068,0.052997012,0.515970732,0.484029268,0.441156429,0.34173724,0.167218274,0.048168338,0.001719718,0.007434046,0.002438953,0.003310531,0.005976533,0.004028301,0.005991182,0.335231513,0.355040722,0.155602064,0.10633051,0.034653947,0.013141244,0.014238525,0.008027481,0.005141689,0.001611356,0.000139163,0.925181929,0.07237265,0.002445421,0.428571429,0.571428571,0.008496301,0.001940965,0.008679411,0.976986743,0.00389658,0.973328142,0.026671858,0.989009084,0.007907731,0.003083186,0.529986084,0.001018091,0.007207207,0.455350472,0.893306197,0.043001303,0.025085378,0.038607122,0.895,0.042,0.025,0.037,0.201972841,0.453331603,0.254165517,0.064977205,0.025552834,0.248028813,0.423261624,0.248028813,0.080680749,0.009231318,0.826860054,0.042344009,0.009945164,0.001735942,0.09333528,0.016548233,0.077500892,0.258817613,0.495278886,0.168402609,0.002109191,0.068597388,0.213044536,0.311819583,0.28034396,0.124085341,0.398325708,0.370923781,0.21300172,0.015866835,0.001881956,0.520166131,0.290226808,0.164833382,0.021837178,0.0029365,0.367451897,0.279129758,0.00561342,0.188990558,0.158814368,0.102425343,0.117851171,0.164560148,0.179608421,0.089408677,0.180129807,0.166016433,0.094065191,0.229553586,0.574243541,0.102137682,0.005088098,0.01891406,0.082883855,0.0096548,0.00839626,0.09685365,0.149532542,0.04811219,0.050611291,0.019938871,0.015354189,0.016522834,0.045972672,0.04579288,0.066486875,0.0932758,0.185580726,0.041028407,0.010337636,0.028621768,0.013627701,0.609201395,0.054510805,0.011362411,0.073639927,0.018571788,0.073641858,0.177317275,0.110689775,0.079196375,0.079766069,0.152419865,0.149437872,0.123819443,0.053711468,0.53074595,0.46925405,0.220149187,0.097763971,0.139422478,0.077370885,0.189599615,0.249265635,0.026428228,0.062238522,0.937761478,0.912935501,0.013280874,0.008856883,0.002207545,0.062719197,0.947250361,0.003498246,0.049251393,0.073,0.01
E06000004,196595,83756,959.3,186,0.77,0.985681223,0.359008923,0.452319473,0.003303588,0.119884817,0.065483197,0.129089259,0.181097474,0.093784326,0.138139357,0.170626582,0.054563255,0.067254883,0.079958451,0.040713501,0.005050384,0.019771718,0.019950809,0.937658638,0.01785905,0.001973601,0.011439762,0.027009843,0.003092652,0.000966454,0.22007284,0.127887931,0.194070012,0.26883323,0.147613864,0.041522122,0.509026171,0.490973829,0.483505856,0.324593765,0.150638156,0.039686235,0.001575988,0.010249498,0.004237137,0.006449808,0.016912943,0.012426562,0.012121366,0.310186733,0.343067959,0.164418072,0.122940446,0.039531496,0.019855294,0.022614791,0.023718571,0.013255543,0.002441543,0.000376405,0.912978487,0.082639873,0.004381639,0.424731183,0.575268817,0.046044366,0.011205892,0.013922164,0.92036339,0.008464187,0.958547738,0.041452262,0.970249722,0.02275639,0.006993888,0.510801504,0.004125274,0.033953396,0.44133311,0.901954138,0.041885915,0.022812624,0.033347322,0.901,0.042,0.023,0.034,0.265163093,0.423778595,0.218467931,0.076937772,0.01565261,0.2234228,0.40951096,0.282666316,0.084399924,0.008417207,0.834234751,0.045118617,0.004572752,0.001038719,0.092422126,0.014195828,0.06965388,0.221724751,0.481929869,0.2266915,0.004572807,0.061022494,0.176429151,0.337933999,0.263491571,0.156549979,0.429373067,0.354680803,0.195876166,0.016631446,0.003438519,0.538951968,0.276764927,0.155019879,0.024212902,0.005050324,0.331033001,0.330555423,0.004596686,0.163248006,0.170566885,0.108904133,0.162754648,0.185127772,0.115023773,0.068843053,0.217588469,0.141758153,0.088208415,0.208923799,0.601598741,0.101269044,0.002996055,0.010850579,0.079979641,0.009832614,0.00677872,0.084664592,0.156199752,0.048966419,0.044871424,0.030643053,0.02580772,0.014147397,0.05354726,0.044119518,0.074670029,0.102340162,0.172232697,0.037352366,0.006605509,0.026098122,0.01525861,0.589104959,0.050808047,0.014576079,0.062920074,0.01704013,0.101303715,0.196012911,0.121568255,0.075039554,0.063856718,0.127422315,0.141003734,0.11362572,0.060167078,0.584413447,0.415586553,0.18632365,0.096981204,0.145592051,0.066862857,0.183558003,0.295221821,0.025460414,0.052129612,0.947870388,0.915518005,0.014448453,0.009309537,0.002069489,0.058654516,0.94948421,0.003803557,0.046712233,0.069,0.008
E06000005,107799,48915,545.9,71,0.88,0.99089973,0.354656376,0.438488168,0.003745531,0.134861813,0.068248113,0.140059287,0.20163549,0.094122457,0.118613922,0.165123173,0.050107329,0.070653174,0.079750588,0.037943371,0.005070019,0.016150465,0.020770725,0.921900945,0.041048618,0.002254195,0.00733773,0.022291487,0.003877587,0.001289437,0.206238927,0.128090013,0.187112154,0.274073112,0.15553721,0.048948584,0.511405486,0.488594514,0.486027352,0.334934685,0.14195474,0.03552957,0.001553652,0.012096924,0.00400757,0.005835096,0.021559242,0.01845152,0.016187985,0.341645885,0.35284739,0.150484445,0.108069989,0.034319938,0.012632354,0.028450835,0.028923933,0.016428571,0.003979592,0.00038961,0.904551373,0.090596577,0.00485205,0.563380282,0.436619718,0.027514936,0.006503024,0.013655423,0.943680656,0.008645961,0.95502678,0.04497322,0.957916675,0.033431483,0.008651842,0.521275313,0.004202187,0.017151974,0.445969889,0.904168907,0.044914716,0.020605054,0.030311324,0.905,0.044,0.021,0.03,0.190739984,0.391414554,0.284893704,0.107747343,0.025204415,0.250480396,0.436281124,0.243386892,0.069851588,0.009526146,0.819739155,0.058567399,0.013635063,0.001758044,0.084488327,0.012285866,0.087272058,0.324699485,0.407474037,0.18055442,0.00300509,0.078173232,0.244822863,0.273667641,0.258887503,0.14144367,0.359159392,0.389823579,0.230635566,0.018500726,0.001880737,0.497393651,0.303092868,0.17387927,0.022608802,0.003025409,0.331636512,0.295901053,0.003884289,0.162138403,0.206439742,0.163701645,0.183439155,0.07144451,0.091912287,0.120473863,0.242651683,0.126376859,0.084895326,0.19926566,0.618711457,0.097127556,0.006308956,0.002738614,0.085992494,0.00373263,0.00598438,0.076275484,0.171782128,0.058200629,0.046556446,0.041647226,0.029516178,0.010589309,0.043777259,0.047692464,0.085181053,0.08708794,0.159691652,0.037245157,0.008540247,0.028501298,0.014605648,0.517019636,0.055623174,0.01959591,0.101062967,0.012394515,0.103569604,0.194620056,0.12360252,0.082889734,0.05936099,0.129198116,0.152079905,0.102060042,0.052619034,0.593952533,0.406047467,0.192629417,0.093931243,0.144517462,0.070539231,0.183197703,0.289613765,0.02557118,0.06114226,0.93885774,0.914228316,0.015129503,0.011236465,0.002542392,0.056863324,0.950922752,0.004233537,0.044843711,0.071,0.009
E06000006,128478,55949,1624.3,127,0.86,0.993142795,0.393069478,0.418544244,0.003222827,0.120120062,0.065043388,0.127884323,0.188510965,0.085363456,0.117249638,0.167724177,0.057606034,0.068383707,0.091994495,0.04854421,0.006380811,0.019356914,0.021001269,0.952334252,0.02663491,0.002739769,0.004467691,0.010118464,0.002677501,0.001027413,0.214197315,0.133956023,0.194956217,0.270395018,0.150005838,0.036489589,0.510180731,0.489819269,0.432232926,0.334804912,0.175928077,0.055193122,0.001840962,0.007721226,0.002498502,0.002856542,0.01033648,0.011574056,0.012702663,0.316383979,0.337974299,0.169559078,0.12169577,0.039445229,0.014941645,0.016710512,0.017948039,0.010343861,0.002513971,0.000210146,0.927855554,0.068214154,0.003930292,0.188976378,0.811023622,0.011177011,0.003977335,0.01394013,0.964958981,0.005946543,0.957641508,0.042358492,0.973319189,0.020516901,0.00616391,0.585860394,0.002545222,0.006265762,0.398564712,0.887023642,0.046576312,0.027336839,0.039063207,0.887,0.046,0.027,0.04,0.209933692,0.344676592,0.333774195,0.095029579,0.016585941,0.23786885,0.423281085,0.265124841,0.073725224,0.014351844,0.846580043,0.044896427,0.002269843,0.000554056,0.077138925,0.014208861,0.08355376,0.235469688,0.51510223,0.165874321,0.002216265,0.062752458,0.186434316,0.374048257,0.256693476,0.117855228,0.38320346,0.3559837,0.239312268,0.019498856,0.002001716,0.507783596,0.289074369,0.172597451,0.026594699,0.003949885,0.305553073,0.299261854,0.007667423,0.243409412,0.144108238,0.120652063,0.161823323,0.139491704,0.121503765,0.076363574,0.247811127,0.132354444,0.078577999,0.188311246,0.644959629,0.088151126,0.001635156,0.001975813,0.10296372,0.008107648,0.0135752,0.08310339,0.177499574,0.069153466,0.041304718,0.040861863,0.021614716,0.013370806,0.053500255,0.057060126,0.059461761,0.079986374,0.139277806,0.035547607,0.008448737,0.032636653,0.008380602,0.541332379,0.055036026,0.020133885,0.073176964,0.013047848,0.089102243,0.177088544,0.130065033,0.075633971,0.07261323,0.137943972,0.163504829,0.099963443,0.054084735,0.596904221,0.403095779,0.210345557,0.118693962,0.167420249,0.055008273,0.183332051,0.239311964,0.025887944,0.048187555,0.951812445,0.919054124,0.014959691,0.009389491,0.001991419,0.054605276,0.95345705,0.003857735,0.042685215,0.07,0.005
E06000007,210974,90538,1168,185,1.17,0.985201968,0.349398148,0.465657694,0.003236508,0.116027953,0.065679696,0.126399965,0.17583777,0.096556142,0.149042391,0.17720736,0.050939937,0.07055601,0.067971459,0.038911838,0.005632994,0.016821666,0.024122468,0.907093257,0.051039223,0.004232729,0.00838962,0.023808508,0.003815618,0.001621045,0.204413919,0.127160862,0.198062275,0.280017443,0.146495457,0.043850044,0.504938997,0.495061003,0.519085909,0.320705118,0.127681195,0.031191323,0.001336455,0.01134737,0.004081072,0.00656005,0.026069563,0.024083536,0.02146236,0.302231058,0.348762978,0.168621604,0.13006406,0.037563508,0.012756793,0.027762109,0.039574159,0.020656868,0.005024387,0.000573539,0.913734045,0.079826626,0.006439329,0.502702703,0.497297297,0.032961564,0.00747015,0.01580771,0.935214459,0.008546117,0.941129691,0.058870309,0.94562366,0.044562122,0.009814219,0.567120742,0.007086047,0.017471016,0.398501266,0.904667542,0.049101282,0.018972652,0.027258524,0.906,0.048,0.019,0.027,0.246004484,0.403229547,0.227990148,0.102651896,0.020123924,0.174247277,0.412898451,0.316784113,0.096070158,0.010636653,0.844305028,0.052664134,0.004605903,0.001137669,0.077361492,0.009289123,0.092933354,0.234608673,0.453080474,0.219377499,0.002385739,0.079889107,0.193311096,0.28756986,0.279241865,0.157602333,0.414124456,0.340133425,0.223872849,0.019859065,0.002010206,0.533113168,0.263613069,0.17334158,0.026563432,0.003368751,0.352769003,0.334069672,0.007576929,0.152886081,0.152698315,0.097527885,0.166787801,0.119031699,0.088583307,0.088941865,0.31637449,0.122752953,0.088786813,0.182438391,0.635191053,0.093583743,0.003023549,0.00124043,0.071983719,0.009933133,0.020118229,0.081538909,0.169716058,0.062913073,0.040343056,0.051390639,0.02789999,0.014187421,0.071218141,0.055489873,0.054452951,0.0833511,0.141564105,0.039635624,0.007142096,0.019924218,0.007403746,0.51205047,0.044955471,0.024730839,0.054907889,0.012510781,0.141948147,0.211645573,0.129384314,0.087344689,0.055529823,0.110364872,0.138335321,0.072100186,0.053347074,0.625137504,0.374862496,0.164737692,0.099804883,0.147576672,0.059623546,0.172710272,0.329759086,0.025787849,0.039815887,0.960184113,0.917901331,0.013050099,0.009865736,0.002258003,0.056924832,0.951284753,0.003902315,0.044812932,0.052,0.005
E06000008,154738,58767,1129.4,264,0.79,0.990351433,0.377717346,0.450916241,0.00307924,0.110066103,0.058221069,0.113567138,0.18554631,0.067095479,0.168598023,0.149403577,0.050827846,0.053805707,0.087413004,0.045756972,0.007640342,0.043357667,0.026987935,0.819288087,0.040655818,0.002397601,0.017500549,0.117023614,0.002442839,0.000691491,0.257136394,0.152066436,0.203308883,0.242724658,0.113568359,0.031195269,0.50435249,0.49564751,0.411574523,0.34002076,0.182381268,0.062824374,0.003199074,0.038361618,0.0131965,0.020783518,0.041974176,0.030703512,0.035886466,0.299113448,0.283747682,0.154066057,0.133186993,0.073289431,0.056596389,0.06331429,0.077835798,0.029941319,0.008272154,0.001531641,0.919248236,0.072578429,0.008173335,0.5,0.5,0.356582935,0.00908615,0.01677642,0.603537524,0.01401697,0.939540899,0.060459101,0.875225262,0.083319885,0.041454854,0.379951919,0.003121405,0.349920511,0.261267433,0.908219405,0.037903817,0.023472167,0.030404611,0.902,0.04,0.025,0.034,0.152213865,0.295119627,0.434043495,0.094442365,0.024180649,0.269096602,0.421120697,0.23719094,0.072591761,0.016761393,0.813004118,0.04439642,0.005360242,0.001446415,0.101214988,0.017816424,0.084727304,0.313775206,0.420760657,0.180736833,0.001837735,0.074173019,0.284729785,0.337139259,0.201368091,0.10075211,0.278120001,0.374025797,0.284552292,0.051152027,0.012149883,0.362754607,0.318597172,0.232358296,0.063113652,0.023176272,0.333061072,0.271546957,0.005241037,0.187707387,0.202443548,0.182494729,0.196214481,0.098052173,0.121872935,0.070093458,0.194908587,0.136363636,0.092247903,0.231461523,0.609138254,0.06715232,0.002533,0.000456255,0.123896729,0.00479854,0.005427857,0.067981939,0.182611979,0.049259766,0.042305816,0.030364532,0.015748651,0.011894086,0.041739431,0.049369897,0.062145026,0.100344551,0.179669923,0.029452022,0.008716448,0.02467038,0.03335536,0.555602757,0.067324334,0.007001479,0.094685169,0.013735486,0.076789196,0.159469161,0.118861341,0.08734907,0.053820214,0.124526186,0.150055644,0.143947318,0.085181869,0.569923604,0.430076396,0.242017271,0.108511564,0.138685276,0.054808046,0.1575041,0.268216354,0.030257389,0.029495933,0.970504067,0.896115741,0.010216889,0.008208655,0.002686013,0.082772701,0.920858855,0.005413864,0.073727282,0.081,0.006
E06000009,141036,64789,4041.1,94,0.86,0.978587027,0.408902985,0.352251532,0.008225678,0.154878248,0.075741557,0.151229375,0.228279492,0.076695118,0.081279229,0.136381176,0.053789995,0.06777385,0.089505935,0.047631542,0.007794533,0.023507077,0.036132677,0.92113417,0.043435411,0.002488709,0.006423846,0.022284932,0.002992123,0.001240809,0.197783497,0.132203101,0.182496295,0.280537179,0.157721952,0.049257975,0.506324626,0.493675374,0.382302551,0.351139854,0.197332881,0.064563429,0.004661285,0.0116425,0.003991917,0.006168682,0.022285248,0.016832701,0.018009714,0.379508867,0.329917116,0.147880041,0.093781352,0.031224436,0.017688188,0.025206866,0.030744578,0.017875249,0.004566307,0.0005247,0.906560195,0.086987037,0.006452768,0.468085106,0.531914894,0.026063713,0.005041159,0.015669425,0.946901212,0.006324492,0.95031564,0.04968436,0.955831255,0.035844129,0.008324616,0.508373867,0.00362324,0.01420934,0.46286711,0.890683444,0.043605434,0.026354768,0.039356354,0.891,0.043,0.027,0.039,0.095800343,0.394314025,0.294871201,0.13537374,0.079640691,0.339857075,0.42164565,0.185479016,0.053018259,0.023026823,0.784902923,0.093558045,0.000879711,0.000370405,0.083850357,0.013411736,0.147663955,0.263424347,0.457932674,0.130979024,0.010495609,0.123184491,0.1979194,0.207334578,0.363302412,0.097763509,0.324257999,0.361794076,0.290950904,0.020897964,0.002099057,0.498896418,0.258454367,0.206146105,0.03320008,0.00330303,0.314094747,0.260654801,0.0032879,0.103422194,0.318540358,0.188807655,0.226525387,0.114467168,0.041373269,0.060122637,0.202368519,0.166335366,0.104831374,0.226104242,0.583504599,0.085559786,0.001768898,0.000892872,0.067453967,0.005896326,0.00481814,0.078892838,0.156101012,0.043464344,0.100170151,0.017166731,0.018143837,0.010815546,0.033423744,0.0469516,0.093414646,0.066038848,0.20451827,0.050068229,0.009821098,0.056955628,0.015969812,0.494862033,0.058640208,0.023162966,0.117987938,0.020231798,0.062111588,0.159439225,0.119418252,0.119194767,0.062842211,0.149829378,0.149408195,0.123801992,0.053954392,0.55313827,0.44686173,0.245616297,0.117560598,0.150163314,0.067809868,0.166597903,0.225004298,0.027247722,0.051410103,0.948589897,0.884466946,0.032611592,0.013512236,0.002802156,0.066607071,0.943011372,0.00580201,0.051186618,0.12,0.01
E06000010,267014,115472,3730.1,531,0.79,0.98281738,0.458452561,0.35223681,0.004165965,0.127891863,0.057252801,0.121085631,0.220520992,0.063166828,0.103185188,0.136266801,0.071220729,0.084003048,0.09058473,0.043569004,0.007837398,0.021901413,0.036658237,0.869234831,0.079636572,0.005040953,0.01458356,0.02808103,0.002584144,0.00083891,0.221575971,0.172270701,0.207198232,0.24605071,0.119092918,0.033811468,0.501026163,0.498973837,0.4118401,0.340991756,0.188686435,0.055875017,0.002606693,0.005643878,0.002752654,0.005924761,0.042072543,0.039488418,0.035061701,0.341606623,0.320164196,0.15942393,0.11459055,0.043317861,0.020896841,0.039533508,0.051326897,0.029859858,0.009516355,0.000704083,0.897645552,0.094731099,0.007623349,0.438794727,0.561205273,0.028144697,0.018969114,0.016901799,0.917517125,0.018467266,0.940920743,0.059079257,0.899777153,0.07097711,0.029245737,0.39851919,0.002419331,0.034773197,0.555700782,0.915395063,0.032454264,0.020500994,0.031649679,0.911,0.034,0.021,0.035,0.083795931,0.293857332,0.467242858,0.11401131,0.041092569,0.350526535,0.426804767,0.182156713,0.040511986,0.018125763,0.805457647,0.070745036,0.000346407,0.001030562,0.086965558,0.017329026,0.118045933,0.335163503,0.437049674,0.10974089,0.004381977,0.102777273,0.284802508,0.344539416,0.193967421,0.069531406,0.272507621,0.388743592,0.302843979,0.031392892,0.004511916,0.371622558,0.330660247,0.248631703,0.042062145,0.007023348,0.231175579,0.251534964,0.005066032,0.269902576,0.242320849,0.152195876,0.277063223,0.181485538,0.054724974,0.065226804,0.131879887,0.137423698,0.080304612,0.214222041,0.620626714,0.084846633,0.004652505,0.001842324,0.152004483,0.007326847,0.007063658,0.0922096,0.185556857,0.049870103,0.052043537,0.021292853,0.008659773,0.009288031,0.029562087,0.0572394,0.049776714,0.081809383,0.153566638,0.036235206,0.003862839,0.075584308,0.012709166,0.519887256,0.077290749,0.069352826,0.090636647,0.018796322,0.05490539,0.142988727,0.100366098,0.068693688,0.074117367,0.151474913,0.204640985,0.120471112,0.08234172,0.599205143,0.400794857,0.25252478,0.112974565,0.140934169,0.068688049,0.174948569,0.217463063,0.032466804,0.047125217,0.952874783,0.880323737,0.017089262,0.016467409,0.004114514,0.082005078,0.922567644,0.006442956,0.0709894,0.095,0.014
